id,mailing_design_id,promotion_id,"created_at","updated_at"
1,9,6,NULL,NULL
2,9,5,NULL,NULL
3,9,1,NULL,NULL
4,9,2,NULL,NULL
5,1,2,NULL,NULL
6,2,1,NULL,NULL
7,3,4,NULL,NULL
8,4,2,NULL,NULL
9,5,1,NULL,NULL
10,6,2,NULL,NULL
11,7,2,NULL,NULL
12,8,1,NULL,NULL
13,25,7,NULL,NULL
14,31,8,NULL,NULL
15,32,7,NULL,NULL
16,33,1,NULL,NULL
17,33,6,NULL,NULL
18,33,5,NULL,NULL
19,33,7,NULL,NULL
20,34,7,NULL,NULL
21,28,6,NULL,NULL
22,30,6,NULL,NULL
23,35,9,NULL,NULL
24,36,15,NULL,NULL
25,37,9,NULL,NULL
26,37,6,NULL,NULL
27,37,10,NULL,NULL
28,38,9,NULL,NULL
29,39,9,NULL,NULL
30,40,9,NULL,NULL
31,41,9,NULL,NULL
32,42,9,NULL,NULL
33,43,9,NULL,NULL
