id,"name","description","type",mailing_id,language_id,country_id,state_id,county_id,clinic_id,base_af_file_id,"created_at","updated_at"
1,"Octavilla Aragón 2019_10","Octavilla Aragón 2019_10","Flyer",1,149,1,2,,,3032,"2019-10-09 10:02:08","2019-10-28 13:10:29"
2,"Octavilla Asturias 2019_10","Octavilla Asturias 2019_10","Flyer",1,149,1,3,,,3033,"2019-10-09 10:02:58","2019-10-28 13:10:23"
3,"Octavilla Cataluña 2019_10","Octavilla Cataluña 2019_10","Flyer",1,26,1,9,,,3034,"2019-10-09 10:03:24","2019-10-28 13:10:17"
4,"Octavilla Las Palmas 2019_10","Octavilla Las Palmas 2019_10","Flyer",1,149,1,,,,3035,"2019-10-09 10:04:01","2019-10-28 13:10:02"
5,"Octavilla Murcia 2019_10","Octavilla Murcia 2019_10","Flyer",1,149,1,14,,,3036,"2019-10-09 10:04:29","2019-10-28 13:09:48"
6,"Octavilla País Vasco 2019_10","Octavilla País Vasco 2019_10","Flyer",1,149,1,16,,,3037,"2019-10-09 10:06:29","2019-10-28 13:09:35"
7,"Octavilla Genérica 2019_10","Octavilla Genérica 2019_10","Flyer",1,149,1,,,,3038,"2019-10-09 10:06:54","2019-10-28 13:10:09"
8,"Octavilla Mieres 2019_10","Octavilla Mieres 2019_10","Flyer",1,149,1,,,235,3039,"2019-10-10 11:10:50","2019-10-28 13:09:54"
9,"Díptico Genérico 2019_10","Díptico Genérico 2019_10","Leaflet",1,149,1,,,,3040,"2019-10-10 11:12:14","2019-10-29 13:43:49"
10,"Octavilla Cataluña 2019_09","Octavilla Cataluña 2019_09","Flyer",2,26,1,9,,,3041,"2019-10-28 12:15:25","2019-10-28 13:09:08"
11,"Octavilla Mieres 2019_09","Octavilla Mieres 2019_09","Flyer",2,149,1,,,235,3042,"2019-10-28 12:20:36","2019-10-28 12:20:39"
12,"Octavilla Asturias 2019_09","Octavilla Asturias 2019_09","Flyer",2,149,1,3,,,3043,"2019-10-28 12:22:04","2019-10-28 13:08:59"
13,"Octavilla Las Palmas 2019_09","Octavilla Las Palmas 2019_09","Flyer",2,149,1,,,,3044,"2019-10-28 12:22:52","2019-10-28 13:08:37"
14,"Octavilla Murcia 2019_09","Octavilla Murcia 2019_09","Flyer",2,149,1,,,,3045,"2019-10-28 12:23:28","2020-02-14 11:54:09"
16,"Octavilla Genárica 2019_09","Octavilla Genárica 2019_09","Flyer",2,149,1,,,,3047,"2019-10-28 12:24:18","2019-10-28 13:08:46"
17,"Díptico Genérico Cataluña 2019_09","Díptico Genérico Cataluña 2019_09","Leaflet",2,26,1,9,,,3048,"2019-10-28 13:05:14","2019-10-28 13:05:20"
19,"Díptico Genérico 2019_09","Díptico Genérico 2019_09","Leaflet",2,149,1,,,,3050,"2019-10-28 13:06:26","2019-10-28 13:06:32"
20,"Octavilla Cataluña 2019_08","Octavilla Cataluña 2019_08","Flyer",3,26,1,9,,,3051,"2019-10-28 18:11:48","2019-10-28 18:11:50"
21,"Octavilla Las Palmas 2019_08","Octavilla Las Palmas 2019_08","Flyer",3,149,1,,,,3052,"2019-10-28 18:12:18","2019-10-28 18:12:19"
22,"Octavilla Genérica 2019_08","Octavilla Genérica 2019_08","Flyer",3,149,1,,,,3053,"2019-10-28 18:12:43","2019-10-28 18:12:45"
23,"Díptico Genérico Cataluña 2019_08","Díptico Genérico Cataluña 2019_08","Leaflet",3,26,1,9,,,3054,"2019-10-28 18:14:50","2019-10-28 18:14:54"
24,"Díptico Genérico 2019_08","Díptico Genérico 2019_08","Leaflet",3,149,1,,,,3055,"2019-10-28 18:15:12","2019-10-28 18:15:16"
25,"Octavilla Genérica 2019_12","Octavilla Genérica 2019_12","Flyer",11,149,1,,,,5629,"2019-10-29 13:05:08","2020-02-06 17:47:26"
28,"Octavilla Murcia 2019_12","Octavilla Murcia 2019_12","Flyer",11,149,1,14,,,5630,"2019-10-29 13:07:12","2020-02-06 17:56:31"
30,"Octavilla País Vasco 2019_12","Octavilla País Vasco 2019_12","Flyer",11,149,1,16,,,5631,"2019-10-29 13:08:05","2020-02-06 17:56:52"
31,"Octavilla Cataluña 2019_12","Octavilla Cataluña 2019_12","Flyer",11,26,1,9,,,5632,"2019-10-29 13:08:27","2020-02-06 17:57:06"
32,"Octavilla Las Palmas 2019_12","Octavilla Las Palmas 2019_12","Flyer",11,149,1,5,,,5633,"2019-10-29 13:18:32","2020-02-06 18:05:27"
33,"Díptico Genérico 2019_12","Díptico Genérico 2019_12","Leaflet",11,149,1,,,,5635,"2019-10-29 13:42:41","2020-02-06 18:06:02"
34,"Octavilla Mieres 2019_12","Octavilla Mieres 2019_12","Flyer",11,149,1,,,235,5634,"2019-10-31 10:44:44","2020-02-06 18:05:43"
35,"Octavilla Genérica 2020_01","Octavilla Genérica 2020_01","Flyer",12,149,1,,,,,"2019-12-05 11:43:11","2019-12-05 11:43:11"
36,"Octavilla Cataluña 2020_01","Octavilla Cataluña 2020_01","Flyer",12,26,1,9,,,,"2019-12-05 11:46:43","2019-12-05 11:46:43"
37,"Díptico Genérico 2020_01","Díptico Genérico 2020_01","Leaflet",12,149,1,,,,,"2019-12-05 11:52:31","2019-12-05 11:52:31"
38,"Octavilla Asturias 2020_01","Octavilla Asturias 2020_01","Flyer",12,149,1,3,,,,"2019-12-05 11:54:17","2019-12-05 11:54:17"
39,"Octavilla Aragón_Navarra 2020_01","Octavilla Aragón y Navarra 2020_01","Flyer",12,149,1,,,,,"2019-12-05 11:54:42","2020-01-07 17:08:14"
40,"Octavilla Murcia_PaisVasco 2020_01","Octavilla Murcia y Pais Vasco 2020_01","Flyer",12,149,1,,,,,"2019-12-05 11:55:03","2020-01-07 17:15:50"
43,"Octavilla Las Palmas 2020_01","Octavilla Las Palmas 2020_01","Flyer",12,149,1,,,,,"2019-12-05 11:57:28","2019-12-05 11:57:28"
44,"Buzoneo Noviembre 2019 Flyer  ES","Octavilla Genérica 2019_12","Flyer",14,149,1,,,,5636,"2020-02-06 18:06:36","2020-02-06 18:06:38"
45,"Buzoneo Noviembre 2019 Flyer Murcia, Región de ES","Octavilla Murcia 2019_12","Flyer",14,149,1,14,,,5637,"2020-02-06 18:06:38","2020-02-06 18:06:41"
46,"Buzoneo Noviembre 2019 Flyer País Vasco ES","Octavilla País Vasco 2019_12","Flyer",14,149,1,16,,,5638,"2020-02-06 18:06:41","2020-02-06 18:06:45"
47,"Buzoneo Noviembre 2019 Flyer Cataluña CA","Octavilla Cataluña 2019_12","Flyer",14,26,1,9,,,5639,"2020-02-06 18:06:45","2020-02-06 18:06:47"
48,"Buzoneo Noviembre 2019 Flyer Palmas, Las(4) ES","Octavilla Las Palmas 2019_12","Flyer",14,149,1,5,,,5640,"2020-02-06 18:06:47","2020-02-06 18:06:51"
50,"Buzoneo Noviembre 2019 Flyer Mieres (Doce de Octubre, 22) ES","Octavilla Mieres 2019_12","Flyer",14,149,1,,,235,5642,"2020-02-06 18:06:56","2020-02-06 18:06:59"
