id,"name","description","starts_at","ends_at",campaign_id,"created_at","updated_at","deleted_at"
1,"Buzoneo Octubre 2019","Buzoneo Octubre 2019","2019-10-01","2019-10-31",16,"2019-10-09 10:00:42","2019-10-09 10:00:42",
2,"Buzoneo Septiembre 2019","Buzoneo Septiembre 2019","2019-09-01","2019-09-30",16,"2019-10-28 12:04:16","2019-10-28 12:04:16",
3,"Buzoneo Agosto 2019","Buzoneo Agosto 2019","2019-08-01","2019-08-31",12,"2019-10-28 12:05:42","2019-10-28 12:05:42",
4,"Buzoneo Julio 2019","Buzoneo Julio 2019","2019-07-01","2019-07-31",12,"2019-10-28 12:07:02","2019-10-28 12:07:23",
5,"Buzoneo Junio 2019","Buzoneo Junio 2019","2019-06-01","2019-06-30",12,"2019-10-28 12:07:44","2019-10-28 12:07:44",
6,"Buzoneo Mayo 2019","Buzoneo Mayo 2019","2019-05-01","2019-05-31",12,"2019-10-28 12:08:09","2019-10-28 12:08:09",
7,"Buzoneo Abril 2019","Buzoneo Abril 2019","2019-04-01","2019-04-30",11,"2019-10-28 12:08:38","2019-10-28 12:08:38",
8,"Buzoneo Marzo 2019","Buzoneo Marzo 2019","2019-03-01","2019-03-31",11,"2019-10-28 12:09:07","2019-10-28 12:09:07",
9,"Buzoneo Febrero 2019","Buzoneo Febrero 2019","2019-02-01","2019-02-28",11,"2019-10-28 12:09:30","2019-10-28 12:09:30",
10,"Buzoneo Enero 2019","Buzoneo Enero 2019","2019-01-01","2019-01-31",11,"2019-10-28 12:09:55","2019-10-28 12:09:55",
11,"Buzoneo Noviembre/Diciembre 2019","Buzoneo Noviembre/Diciembre 2019","2019-11-18","2019-12-31",,"2019-10-29 13:04:26","2019-10-29 13:04:26",
